Country,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022
Belgium,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623
Bulgaria,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937
Czechia,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707
Denmark,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420
Germany,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124
Estonia,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796
Ireland,4609779,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5060004
Greece,11003615,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10459782
Spain,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893
France,65600350,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,67871925
Croatia,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3862305
Italy,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59030133
Cyprus,865878,858000,847008,848319,854802,864236,875899,888005,896007,904705
Latvia,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757
Lithuania,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805998
Luxembourg,537039,549680,562958,576249,590667,602005,613894,626108,634730,645397
Hungary,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9689010
Malta,422509,429424,439691,450415,460297,475701,493559,514564,516100,520971
Netherlands,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672
Austria,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929
Poland,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37654247
Portugal,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042
Romania,20020074,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19042455
Slovenia,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180
Slovakia,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712
Finland,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241
Sweden,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326
Iceland,321857,325671,329100,332529,338349,348450,356991,364134,368792,376248
Liechtenstein,36838,37129,37366,37622,37810,38114,38378,38747,39055,39308
Norway,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5425270
Switzerland,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8738791
United Kingdom,63905342,64351203,64853393,65379044,65844142,66273576,66647112,67025542,,
Montenegro,620893,621521,622099,622218,622387,622359,622182,621873,620739,617683
Moldova,3559497,3557634,3555159,,3550852,,,,2597107,
North Macedonia,2062294,2065769,2069172,2071278,2073702,2075301,2077132,2076255,2068808,1837114
Albania,2897770,2892394,2885796,2875592,2876591,2870324,2862427,2845955,2829741,2793592
Serbia,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,6797105
Turkiye,75627384,76667864,77695904,78741053,79814871,80810525,82003882,83154997,83614362,84680273
Ukraine,45372692,45245894,42759661,42590879,42414905,42216766,41983564,41732779,41418717,40997698
Kosovo (under United Nations Security Council Resolution 1244/99),,,,1771604,1783531,1798506,1795666,1782115,1798186,1773971
Georgia,,4490498,3729500,3720400,3718200,3729633,3723464,3716858,3728573,3688647
Andorra,76246,,,,,,76177,,,
Belarus,9463840,9468154,9480868,9498364,9504704,9491823,9475174,,,
San Marino,33562,,,,,34453,,,,
Azerbaijan,9356483,9477119,9593038,9705643,9809981,9898085,9981457,10067108,10119133,10156366
