Country,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022
Belgium,11137974.0,11180840.0,11237274.0,11311117.0,11351727.0,11398589.0,11455519.0,11522440.0,11554767.0,11617623.0
Bulgaria,7284552.0,7245677.0,7202198.0,7153784.0,7101859.0,7050034.0,7000039.0,6951482.0,6916548.0,6838937.0
Czechia,10516125.0,10512419.0,10538275.0,10553843.0,10578820.0,10610055.0,10649800.0,10693939.0,10494836.0,10516707.0
Denmark,5602628.0,5627235.0,5659715.0,5707251.0,5748769.0,5781190.0,5806081.0,5822763.0,5840045.0,5873420.0
Germany,80523746.0,80767463.0,81197537.0,82175684.0,82521653.0,82792351.0,83019213.0,83166711.0,83155031.0,83237124.0
Estonia,1320174.0,1315819.0,1314870.0,1315944.0,1315635.0,1319133.0,1324820.0,1328976.0,1330068.0,1331796.0
Ireland,4609779.0,4637852.0,4677627.0,4726286.0,4784383.0,4830392.0,4904240.0,4964440.0,5006324.0,5060004.0
Greece,11003615.0,10926807.0,10858018.0,10783748.0,10768193.0,10741165.0,10724599.0,10718565.0,10678632.0,10459782.0
Spain,46727890.0,46512199.0,46449565.0,46440099.0,46528024.0,46658447.0,46937060.0,47332614.0,47398695.0,47432893.0
France,65600350.0,66165980.0,66458153.0,66638391.0,66809816.0,67026224.0,67177636.0,67320216.0,67656682.0,67871925.0
Croatia,4262140.0,4246809.0,4225316.0,4190669.0,4154213.0,4105493.0,4076246.0,4058165.0,4036355.0,3862305.0
Italy,59685227.0,60782668.0,60795612.0,60665551.0,60589445.0,60483973.0,59816673.0,59641488.0,59236213.0,59030133.0
Cyprus,865878.0,858000.0,847008.0,848319.0,854802.0,864236.0,875899.0,888005.0,896007.0,904705.0
Latvia,2023825.0,2001468.0,1986096.0,1968957.0,1950116.0,1934379.0,1919968.0,1907675.0,1893223.0,1875757.0
Lithuania,2971905.0,2943472.0,2921262.0,2888558.0,2847904.0,2808901.0,2794184.0,2794090.0,2795680.0,2805998.0
Luxembourg,537039.0,549680.0,562958.0,576249.0,590667.0,602005.0,613894.0,626108.0,634730.0,645397.0
Hungary,9908798.0,9877365.0,9855571.0,9830485.0,9797561.0,9778371.0,9772756.0,9769526.0,9730772.0,9689010.0
Malta,422509.0,429424.0,439691.0,450415.0,460297.0,475701.0,493559.0,514564.0,516100.0,520971.0
Netherlands,16779575.0,16829289.0,16900726.0,16979120.0,17081507.0,17181084.0,17282163.0,17407585.0,17475415.0,17590672.0
Austria,8451860.0,8507786.0,8584926.0,8700471.0,8772865.0,8822267.0,8858775.0,8901064.0,8932664.0,8978929.0
Poland,38062535.0,38017856.0,38005614.0,37967209.0,37972964.0,37976687.0,37972812.0,37958138.0,37840001.0,37654247.0
Portugal,10487289.0,10427301.0,10374822.0,10341330.0,10309573.0,10291027.0,10276617.0,10295909.0,10298252.0,10352042.0
Romania,20020074.0,19947311.0,19870647.0,19760585.0,19643949.0,19533481.0,19414458.0,19328838.0,19201662.0,19042455.0
Slovenia,2058821.0,2061085.0,2062874.0,2064188.0,2065895.0,2066880.0,2080908.0,2095861.0,2108977.0,2107180.0
Slovakia,5410836.0,5415949.0,5421349.0,5426252.0,5435343.0,5443120.0,5450421.0,5457873.0,5459781.0,5434712.0
Finland,5426674.0,5451270.0,5471753.0,5487308.0,5503297.0,5513130.0,5517919.0,5525292.0,5533793.0,5548241.0
Sweden,9555893.0,9644864.0,9747355.0,9851017.0,9995153.0,10120242.0,10230185.0,10327589.0,10379295.0,10452326.0
Iceland,321857.0,325671.0,329100.0,332529.0,338349.0,348450.0,356991.0,364134.0,368792.0,376248.0
Liechtenstein,36838.0,37129.0,37366.0,37622.0,37810.0,38114.0,38378.0,38747.0,39055.0,39308.0
Norway,5051275.0,5107970.0,5166493.0,5210721.0,5258317.0,5295619.0,5328212.0,5367580.0,5391369.0,5425270.0
Switzerland,8039060.0,8139631.0,8237666.0,8327126.0,8419550.0,8484130.0,8544527.0,8606033.0,8670300.0,8738791.0
United Kingdom,63905342.0,64351203.0,64853393.0,65379044.0,65844142.0,66273576.0,66647112.0,67025542.0,65534919.25,65534919.25
Montenegro,620893.0,621521.0,622099.0,622218.0,622387.0,622359.0,622182.0,621873.0,620739.0,617683.0
Moldova,3559497.0,3557634.0,3555159.0,3364049.8,3550852.0,3364049.8,3364049.8,3364049.8,2597107.0,3364049.8
North Macedonia,2062294.0,2065769.0,2069172.0,2071278.0,2073702.0,2075301.0,2077132.0,2076255.0,2068808.0,1837114.0
Albania,2897770.0,2892394.0,2885796.0,2875592.0,2876591.0,2870324.0,2862427.0,2845955.0,2829741.0,2793592.0
Serbia,7181505.0,7146759.0,7114393.0,7076372.0,7040272.0,7001444.0,6963764.0,6926705.0,6871547.0,6797105.0
Turkiye,75627384.0,76667864.0,77695904.0,78741053.0,79814871.0,80810525.0,82003882.0,83154997.0,83614362.0,84680273.0
Ukraine,45372692.0,45245894.0,42759661.0,42590879.0,42414905.0,42216766.0,41983564.0,41732779.0,41418717.0,40997698.0
Kosovo (under United Nations Security Council Resolution 1244/99),1786225.5714285714,1786225.5714285714,1786225.5714285714,1771604.0,1783531.0,1798506.0,1795666.0,1782115.0,1798186.0,1773971.0
Georgia,3805085.888888889,4490498.0,3729500.0,3720400.0,3718200.0,3729633.0,3723464.0,3716858.0,3728573.0,3688647.0
Andorra,76246.0,76211.5,76211.5,76211.5,76211.5,76211.5,76177.0,76211.5,76211.5,76211.5
Belarus,9463840.0,9468154.0,9480868.0,9498364.0,9504704.0,9491823.0,9475174.0,9483275.285714285,9483275.285714285,9483275.285714285
San Marino,33562.0,34007.5,34007.5,34007.5,34007.5,34453.0,34007.5,34007.5,34007.5,34007.5
Azerbaijan,9356483.0,9477119.0,9593038.0,9705643.0,9809981.0,9898085.0,9981457.0,10067108.0,10119133.0,10156366.0
